city_development_index,experience,enrolled_university,relevent_experience,education_level,company_type,major_discipline,target
0.92,>20,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0
0.7759999999999999,15,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,5,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.789,<1,Other,No relevent experience,Graduate,Pvt Ltd,Business Degree,1.0
0.767,>20,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0
0.764,11,Part time course,Has relevent experience,Graduate,Other,STEM,1.0
0.92,5,No enrollment,Has relevent experience,High School,Funded Startup,Non Degree,0.0
0.762,13,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,7,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,17,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,2,Full time course,No relevent experience,High School,Other,Non Degree,1.0
0.92,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.913,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,2,Other,No relevent experience,Other,Other,Non Degree,0.0
0.624,5,Full time course,No relevent experience,High School,Other,Non Degree,0.0
0.926,16,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,1,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,2,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.624,7,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.8270000000000001,4,No enrollment,Has relevent experience,Graduate,Other,Arts,1.0
0.843,11,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.926,11,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0
0.804,10,No enrollment,Has relevent experience,Masters,Other,STEM,0.0
0.7759999999999999,<1,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0
0.624,5,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.855,4,No enrollment,No relevent experience,High School,Other,Non Degree,0.0
0.624,14,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0
0.92,5,No enrollment,Has relevent experience,Graduate,Other,Arts,0.0
0.887,11,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,1.0
0.624,18,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,1.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,19,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.92,5,Full time course,No relevent experience,Graduate,Other,STEM,0.0
0.92,>20,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0
0.91,12,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Business Degree,0.0
0.92,10,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0
0.926,1,Part time course,No relevent experience,High School,Other,Non Degree,0.0
0.926,>20,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,1.0
0.92,12,No enrollment,No relevent experience,Graduate,Other,STEM,0.0
0.884,3,No enrollment,No relevent experience,Other,Other,Non Degree,0.0
0.926,16,Full time course,Has relevent experience,Masters,Public Sector,STEM,0.0
